Fecha,Nombre Usuario,Operacion,Valores,Textos
1000816422,pepegamer,Creacion de nuevo perfil,,
1087016422,lukistar,Creacion de nuevo perfil,,
1087816422,lu,Creacion de nuevo perfil,,
1600816402,epicmari,Creacion de nuevo perfil,,
1607816422,pip,Creacion de nuevo perfil,,
1680016022,leyenda123,Creacion de nuevo perfil,,
1680016022,Xx_EPiK_xX,Creacion de nuevo perfil,,
1680016422,leyenda123,Nueva imagen clasificada,,
1680810422,leyenda123,Nueva imagen clasificada,,
1680816420,leyenda123,Modificacion de imagen previamente clasificada,,
1680816422,pepegamer,Cambio en la configuracion del sistema,,
1687016020,pepegamer,Nueva imagen clasificada,,
1687016020,pip,Cambio en la configuracion del sistema,,
1687016020,pip,Nueva imagen clasificada,,
1687016022,pip,Nueva imagen clasificada,,
1687016422,Xx_EPiK_xX,Nueva imagen clasificada,,
1687806402,epicmari,Nueva imagen clasificada,,
1687806402,epicmari,Modificacion de imagen previamente clasificada,,
1687806402,epicmari,Nueva imagen clasificada,,
1687806422,epicmari,Nueva imagen clasificada,,
1687810420,epicmari,Nueva imagen clasificada,,
1687810420,pepegamer,Nueva imagen clasificada,,
1687810420,pepegamer,Nueva imagen clasificada,,
1687810422,lukistar,Generacion de meme,meme_1.png,yo en la clase virtual;yo en la clase presencial;
1687816020,lukistar,Generacion de meme,meme_10.png,Cuando no estudiaste nada para el multiple choice pero aprobas igual;
1687816020,lu,Generacion de meme,meme_6.png,cuando te entregan la nota y tus compaï¿½eros preguntan como te fue;
1687816022,lukistar,Generacion de meme,meme_2.png,L = L^.sig;L^.sig = L;
1687816400,lukistar,Generacion de meme,meme_9.png,yo yendo a cursar todos los dias;yo haciendo cualquier otra cosa;
1687816402,Xx_EPiK_xX,Generacion de meme,meme_3.png,Cuando sacas la promocion;pero no la cursada;
1687816420,pepegamer,Generacion de meme,meme_9.png,d;e;
1687816420,pip,Generacion de meme,animal_1.png;animal_9.png;animal_6.png;,michis
1687816422,pip,Modificacion de perfil,,
1687816422,leyenda123,Modificacion de perfil,,
1687816422,leyenda123,Generacion de collage,meme_6.png;meme_6.png;meme_6.png;,harold fusion
1687816422,pepegamer,Modificacion de perfil,,
1687816422,pepegamer,Generacion de collage,meme_2.png;meme_3.png;meme_6.png;meme_9.png;,los mejores memes
1687816422,pepegamer,Generacion de collage,animal_2.png;animal_2.png;,mega dogo
1687816422,pepegamer,Generacion de collage,animal_1.png;animal_1.png;animal_1.png;,puedes correr pero no esconderte
1687816422,epicmari,Cambio en la configuracion del sistema,,
1687816422,epicmari,Cambio en la configuracion del sistema,,
1687816422,epicmari,Generacion de collage,meme_1.png;animal_2.png;animal_2.png;meme_1.png;,reunion canina
1687816422,jojo,Creacion de nuevo perfil,,
1687816422,lucho,Creacion de nuevo perfil,,
1689038459.638539,pepegamer,Generación de meme,meme_2.png,"































@Threat;Twitter;"
1689792511.232026,lukistar,Modificación de perfil
1689792518.061394,lukistar,Modificación de perfil
